var_names,X0,X1
531,202,110
532,204,114
533,205,110
534,207,114
535,209,110
536,211,114
537,212,110
538,214,114
539,216,110
540,218,114
541,93,117
542,95,121
543,97,117
544,99,121
545,100,117
546,102,121
547,104,117
548,106,121
549,107,117
550,109,121
551,111,117
552,113,121
553,114,117
554,116,121
555,118,117
556,120,121
557,121,117
558,123,121
559,125,117
560,127,121
561,128,117
562,130,121
563,132,117
564,134,121
565,135,117
566,137,121
567,139,117
568,141,121
569,142,117
570,144,121
571,146,117
572,148,121
573,149,117
574,151,121
575,153,117
576,155,121
577,156,117
578,158,121
579,160,117
580,162,121
581,163,117
582,165,121
583,167,117
584,169,121
585,170,117
586,172,121
587,174,117
588,176,121
589,177,117
590,179,121
591,181,117
592,183,121
593,184,117
594,186,121
595,188,117
596,190,121
597,191,117
598,193,121
599,195,117
600,197,121
601,198,117
602,200,121
603,202,117
604,204,121
605,205,117
606,207,121
607,209,117
608,211,121
609,212,117
610,214,121
611,216,117
612,218,121
613,219,117
614,46,128
615,88,128
616,92,128
617,93,124
618,95,128
619,97,124
620,99,128
621,100,124
622,102,128
623,104,124
624,106,128
625,107,124
626,109,128
627,111,124
628,113,128
629,114,124
630,116,128
631,118,124
632,120,128
633,121,124
634,123,128
635,125,124
636,127,128
637,128,124
638,130,128
639,132,124
640,134,128
641,135,124
642,137,128
643,139,124
644,141,128
645,142,124
646,144,128
647,146,124
648,148,128
649,149,124
650,151,128
651,153,124
652,155,128
653,156,124
654,158,128
655,160,124
656,162,128
657,163,124
658,165,128
659,167,124
660,169,128
661,170,124
662,172,128
663,174,124
664,176,128
665,177,124
666,179,128
667,181,124
668,183,128
669,184,124
670,186,128
671,188,124
672,190,128
673,191,124
674,193,128
675,195,124
676,197,128
677,198,124
678,200,128
679,202,124
680,204,128
681,205,124
682,207,128
683,209,124
684,211,128
685,212,124
686,214,128
687,216,124
688,218,128
689,90,131
690,92,135
691,93,131
692,95,135
693,97,131
694,99,135
695,100,131
696,102,135
697,104,131
698,106,135
699,107,131
700,109,135
701,111,131
702,113,135
703,114,131
704,116,135
705,118,131
706,120,135
707,121,131
708,123,135
709,125,131
710,127,135
711,128,131
712,130,135
713,132,131
714,134,135
715,135,131
716,137,135
717,139,131
718,141,135
719,142,131
720,144,135
721,146,131
722,148,135
723,149,131
724,151,135
725,153,131
726,155,135
727,156,131
728,158,135
729,160,131
730,162,135
731,163,131
732,165,135
733,167,131
734,169,135
735,170,131
736,172,135
737,174,131
738,176,135
739,177,131
740,179,135
741,181,131
742,183,135
743,184,131
744,186,135
745,188,131
746,190,135
747,191,131
748,193,135
749,195,131
750,197,135
751,198,131
752,200,135
753,202,131
754,204,135
755,205,131
756,207,135
757,209,131
758,211,135
759,212,131
760,214,135
761,216,131
762,218,135
763,90,138
764,92,142
765,93,138
766,95,142
767,97,138
768,99,142
769,100,138
770,102,142
771,104,138
772,106,142
773,107,138
774,109,142
775,111,138
776,113,142
777,114,138
778,116,142
779,118,138
780,120,142
781,121,138
782,123,142
783,125,138
784,127,142
785,128,138
786,130,142
787,132,138
788,134,142
789,135,138
790,137,142
791,139,138
792,141,142
793,142,138
794,144,142
795,146,138
796,148,142
797,149,138
798,151,142
799,153,138
800,155,142
801,156,138
802,158,142
803,160,138
804,162,142
805,163,138
806,165,142
807,167,138
808,169,142
809,170,138
810,172,142
811,174,138
812,176,142
813,177,138
814,179,142
815,181,138
816,183,142
817,184,138
818,186,142
819,188,138
820,190,142
821,191,138
822,193,142
823,195,138
824,197,142
825,198,138
826,200,142
827,202,138
828,204,142
829,205,138
830,207,142
831,209,138
832,211,142
833,212,138
834,214,142
835,216,138
836,90,145
837,92,148
838,93,145
839,95,148
840,97,145
841,99,148
842,100,145
843,102,148
844,104,145
845,106,148
846,107,145
847,109,148
848,111,145
849,113,148
850,114,145
851,116,148
852,118,145
853,120,148
854,121,145
855,123,148
856,125,145
857,127,148
858,128,145
859,130,148
860,132,145
861,134,148
862,135,145
863,137,148
864,139,145
865,141,148
866,142,145
867,144,148
868,146,145
869,148,148
870,149,145
871,151,148
872,153,145
873,155,148
874,156,145
875,158,148
876,160,145
877,162,148
878,163,145
879,165,148
880,167,145
881,169,148
882,170,145
883,172,148
884,174,145
885,176,148
886,177,145
887,179,148
888,181,145
889,183,148
890,184,145
891,186,148
892,188,145
893,190,148
894,191,145
895,193,148
896,195,145
897,197,148
898,198,145
899,200,148
900,202,145
901,204,148
902,205,145
903,207,148
904,209,145
905,211,148
906,212,145
907,214,148
908,90,152
909,92,155
910,93,152
911,95,155
912,97,152
913,99,155
914,100,152
915,102,155
916,104,152
917,106,155
918,107,152
919,109,155
920,111,152
921,113,155
922,114,152
923,116,155
924,118,152
925,120,155
926,121,152
927,123,155
928,125,152
929,127,155
930,128,152
931,130,155
932,132,152
933,134,155
934,135,152
935,137,155
936,139,152
937,141,155
938,142,152
939,144,155
940,146,152
941,148,155
942,149,152
943,151,155
944,153,152
945,155,155
946,156,152
947,158,155
948,160,152
949,162,155
950,163,152
951,165,155
952,167,152
953,169,155
954,170,152
955,172,155
956,174,152
957,176,155
958,177,152
959,179,155
960,181,152
961,183,155
962,184,152
963,186,155
964,188,152
965,190,155
966,191,152
967,193,155
968,195,152
969,197,155
970,198,152
971,200,155
972,202,152
973,204,155
974,205,152
975,207,155
976,209,152
977,211,155
978,212,152
979,93,159
980,97,159
981,99,162
982,100,159
983,102,162
984,104,159
985,106,162
986,107,159
987,109,162
988,111,159
989,113,162
990,114,159
991,116,162
992,118,159
993,120,162
994,121,159
995,123,162
996,125,159
997,127,162
998,128,159
999,130,162
1000,132,159
1001,134,162
1002,135,159
1003,137,162
1004,139,159
1005,141,162
1006,142,159
1007,144,162
1008,146,159
1009,148,162
1010,149,159
1011,151,162
1012,153,159
1013,155,162
1014,156,159
1015,158,162
1016,160,159
1017,162,162
1018,163,159
1019,165,162
1020,167,159
1021,169,162
1022,170,159
1023,172,162
1024,174,159
1025,176,162
1026,177,159
1027,179,162
1028,181,159
1029,183,162
1030,184,159
1031,186,162
1032,188,159
1033,190,162
1034,191,159
1035,193,162
1036,195,159
1037,197,162
1038,198,159
1039,200,162
1040,202,159
1041,204,162
1042,205,159
1043,207,162
1044,209,159
1045,211,162
1046,97,166
1047,99,169
1048,100,166
1049,102,169
1050,104,166
1051,106,169
1052,107,166
1053,109,169
1054,111,166
1055,113,169
1056,114,166
1057,116,169
1058,118,166
1059,120,169
1060,121,166
1061,123,169
1062,125,166
1063,127,169
1064,128,166
1065,130,169
1066,132,166
1067,134,169
1068,135,166
1069,137,169
1070,139,166
1071,141,169
1072,142,166
1073,144,169
1074,146,166
1075,148,169
1076,149,166
1077,151,169
1078,153,166
1079,155,169
1080,156,166
1081,158,169
1082,160,166
1083,162,169
1084,163,166
1085,165,169
1086,167,166
1087,169,169
1088,170,166
1089,172,169
1090,174,166
1091,176,169
1092,177,166
1093,179,169
1094,181,166
1095,183,169
1096,184,166
1097,186,169
1098,188,166
1099,190,169
1100,191,166
1101,193,169
1102,195,166
1103,197,169
1104,198,166
1105,200,169
1106,202,166
1107,204,169
1108,205,166
1109,207,169
1110,209,166
1111,104,173
1112,106,176
1113,107,173
1114,109,176
1115,111,173
1116,113,176
1117,114,173
